nombre_limpio,marca_normalizada,categoria,subcategoria,precio_venta,precio_original,descuento_pct,ahorro_cop,tiene_descuento,rango_precio,almacenamiento_gb,ram_gb,conectividad_5g,fecha_extraccion,fuente,enlace
Celular MOTOROLA Edge 60 Fusion 5G 256 GB 8 GB RAM Verde,Motorola,celulares,celular,884905,2299900,61,1414995,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-motorola-edge-60-fusion-256-gb-8-gb-ram-verde-3212712/p
Iphone 17 Pro Max 256Gb Plata Esim,Apple,celulares,celular,5392900,7399900,27,2007000,1,premium,256,,0,2026-06-04,exito.com,https://www.exito.com/iphone-17-pro-max-256gb-plata-esim-104768840-mp/p
Iphone 16 128Gb Negro,Apple,celulares,celular,2744129,3999990,29,1255861,1,premium,128,,0,2026-06-04,exito.com,https://www.exito.com/iphone-16-128gb-5g-esim-negro-103747083-mp/p
Iphone 17 256Gb Lila Esim,Apple,celulares,celular,3065190,5999990,47,2934800,1,premium,256,,0,2026-06-04,exito.com,https://www.exito.com/iphone-17-256gb-lila-esim-104796664-mp/p
Celular XIAOMI REDMI Note 15 512 GB 8 GB RAM Lila + Buds 6 Play,Xiaomi,celulares,celular,919943,1599900,42,679957,1,medio,512,8,0,2026-06-04,exito.com,https://www.exito.com/celular-xiaomi-redmi-note-15-512-gb-8-gb-ram-3240492/p
Celular XIAOMI 15T 5G 512 GB 12 GB RAM Negro + Redmi Pad 2,Xiaomi,celulares,celular,2647948,4999900,47,2351952,1,premium,512,12,1,2026-06-04,exito.com,https://www.exito.com/celular-xiaomi-xiaomi-15t-5g-512-gb-12-gb-ram-negro-redmi-pad-2-3226900/p
Celular SAMSUNG Galaxy A36 5G 256 GB 8 GB RAM Gris,Samsung,celulares,celular,1059655,1784900,40,725245,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-samsung-galaxy-a36-256-gb-8-gb-ram-gris-3206236/p
Iphone 17 256Gb Verde Esim,Apple,celulares,celular,3094203,4899900,34,1805697,1,premium,256,,0,2026-06-04,exito.com,https://www.exito.com/iphone-17-256gb-5g-verde-104792369-mp/p
Iphone 17 256Gb Azul Neblina Esim,Apple,celulares,celular,3097113,4699900,32,1602787,1,premium,256,,0,2026-06-04,exito.com,https://www.exito.com/iphone-17-256gb-azul-neblina-esim-104776985-mp/p
Celular MOTOROLA Moto G86 5G 256 GB 8 GB RAM Azul,Motorola,celulares,celular,873954,1899900,54,1025946,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-motorola-moto-g86-5g-256-gb-8-gb-ram-azul-3226188/p
Celular SAMSUNG Galaxy A36 5G 256 GB 8 GB RAM Verde + Cargador,Samsung,celulares,celular,1039005,1999900,48,960895,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-samsung-galaxy-a36-256-gb-8-gb-ram-verde-buds-core-3240982/p
